BI_01/01e11::Viale dei Tigli 1, Biella [45.556893159505364, 8.036920890926911]
BI_01/02e34::Via Trieste 46a, Biella [45.55806308229511, 8.062259467380164]
BI_01/02e41::Via Candelo 46, Biella [45.55410031157187, 8.069195985212312]
BI_01/02e42::Strada delle Viti 1, Biella [45.55502188533193, 8.06665414650622]
BI_01/02e43::Via Monte Carso, Biella [45.55727347329385, 8.066011044840149]
BI_01/02e44::Via Trieste 76, Biella [45.55594307033694, 8.063670179949336]
BI_01/02w11::Via Camandona 126, Biella [45.54840027178027, 8.061471734969471]
BI_01/02w12::Via Salussola 9, Biella [45.547037186244204, 8.05451057120518]
BI_01/02w13::Via Clemente Vercellone 3b, Biella [45.54711286902233, 8.051658442235414]
BI_01/02w14::Via Umbria 1, Biella [45.55029198033609, 8.050855021734487]
BI_01/02w21::Via Lombardia 2, Biella [45.552470975861546, 8.05377542505027]
BI_01/02w22::Via Borriana 7, Biella [45.54850993720636, 8.052957479820186]
BI_01/02w23::Via Antonio Rosmini Serbati 15, Biella [45.550614317844904, 8.053904691905759]
BI_01/02w24::Via Piemonte 18, Biella [45.54991054989709, 8.054392852362344]
BI_01/02w31::Via Donato 8, Biella [45.548507673251486, 8.058997562760903]
BI_01/02w32::Strada al Lanificio 7, Biella [45.549909280994044, 8.06357581517139]
BI_01/02w33::Via Liguria 11a, Biella [45.55263922979759, 8.060154134517019]
BI_01/02w34::Piazza Giovanni Falcone, Biella [45.55167242589169, 8.060734349185177]
BI_01/02w41::Strada del Masarone 41a, Biella [45.55224623072788, 8.069908204055327]
BI_01/02w42::Via San Giuseppe Cottolengo 42a, Biella [45.55036590544238, 8.066335516182905]
BI_01/02w43::Strada alle Filature 2c, Biella [45.55416258640536, 8.062102017756533]
BI_01/02w44::Strada dei Campi 12, Biella [45.55296250259588, 8.065524906118682]
BI_01/03e11::Via Beato Agostino de Fango 13, Biella [45.563764683022896, 8.049924853479503]
BI_01/03e12::Piazza Eugenio Curiel 12a, Biella [45.56725424749789, 8.050510805233035]
BI_01/03e13::Via Pietro Micca 38, Biella [45.56648860969911, 8.050628755655858]
BI_01/03e14::Via Pietro Micca 30, Biella [45.565531405847736, 8.050989728139887]
BI_01/03e21::Piazza Fiume 4b, Biella [45.56832265952748, 8.05349934953426]
BI_01/03e22::Via San Filippo 11, Biella [45.56766182848256, 8.052423074797218]
BI_01/03e23::Via Guglielmo Marconi 1, Biella [45.567054617655856, 8.054279063304334]
BI_01/03e24::Via Giovanni Amendola 4a, Biella [45.566868233598576, 8.05264187095444]
BI_01/03e31::Via Dante Alighieri 1, Biella [45.568998970993285, 8.053604878872887]
BI_01/03e32::Via Belletti Bona 11, Biella [45.56930731124759, 8.052976061874086]
BI_01/03e33::Via Alessandro Roccavilla 3, Biella [45.568605611690515, 8.048584052394673]
BI_01/03e34::Piazza del Monte, Biella [45.56983486827953, 8.050365294043502]
BI_01/03e41::Vicolo Antonio Mondella 2, Biella [45.570889398630754, 8.053829300309282]
BI_01/03e42::Via Galileo Galilei 17, Biella [45.570439508265466, 8.056573639678323]
BI_01/03e43::Via Sabadell 1, Biella [45.56924058926495, 8.055085461827344]
BI_01/03e44::Via Orfanotrofio 26a, Biella [45.5688667953572, 8.057543307873074]
BI_01/03e90::Via Milano 89, Biella [45.568455603347374, 8.077400307736841]
BI_01/03e91::Via Felice Coppa 45, Biella [45.570563965284336, 8.080944911968993]
BI_01/03e92::Via Edmondo De Amicis 36a, Biella [45.5702441513354, 8.076303047334866]
BI_01/03e99::Strada alla Cascina Fantona, Biella [45.57574351847714, 8.076616985282689]
BI_01/03w11::Via Bengasi 6a, Biella [45.56085335298019, 8.060672679728276]
BI_01/03w12::Via Bertodano 10, Biella [45.563315971913006, 8.06026482841444]
BI_01/03w13::Via Alessandro Rossi 9a, Biella [45.562220310921674, 8.060514197044466]
BI_01/03w14::Via Bengasi 11, Biella [45.56130461560067, 8.061443574143324]
BI_01/03w21::Via Giuseppe Mazzini 5, Biella [45.56380909465714, 8.056023487106959]
BI_01/03w22::Via Cernaia, Biella [45.56489499764243, 8.059417351163678]
BI_01/03w23::Via Gustavo di Valdengo 5a, Biella [45.56505612946052, 8.057514055836767]
BI_01/03w24::Viale Giacomo Matteotti 2e, Biella [45.564162630979354, 8.058023752662333]
BI_01/03w31::Via Venti Settembre 13, Biella [45.56560010787479, 8.057703684807475]
BI_01/03w32::Via Costantino Crosa 13b, Biella [45.56732315811747, 8.055857132842311]
BI_01/03w33::Via Pietro Losana 17, Biella [45.565177619950795, 8.054057833635904]
BI_01/03w34::Via Italia 26, Biella [45.56569408659231, 8.055307295869389]
BI_01/03w41::Strada Regione Bercola 1, Biella [45.56952623213736, 8.070625693356499]
BI_01/03w42::Via Edmondo De Amicis 10a, Biella [45.57082457614412, 8.0687155139706]
BI_01/03w43::Via Milano 33a, Biella [45.57072211207937, 8.06465641451029]
BI_01/03w44::Via Guglielmo Marconi, Biella [45.57033895985298, 8.059850711037626]
BI_01/04w11::Via Edmondo De Amicis 18, Biella [45.57050490220208, 8.072345351403106]
BI_01/04w12::Via Firenze, Biella [45.57257892368462, 8.067017520129406]
BI_01/04w13::Via Giuseppe Poma 21, Biella [45.574163805338216, 8.07314164408343]
BI_01/04w14::Via Carlo Antonio Coda 44c, Biella [45.573056454186, 8.076308656913467]
